bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
তক্ষণ,carpentry,তক্ষণ,,ˈkärpəntrē,Takṣaṇa,,ছুতোরের কাজ|তক্ষণ|ছুতারের কাজ|ছুতারগিরি,woodworking|woodwork,,"When working with pressure-treated lumber, use the same types of precautions as you would with any other <b>carpentry</b> and woodworking processes.|Reed did a bit of quick <b>carpentry</b> to repair the breaks, lashing them back together with something the Vikings could have used, duct tape."
সূত্রধর,carpenter,সূত্রধর,,ˈkärpəntər,Sūtradhara,,ছুতার|সূত্রধর|ছুতারমিস্ত্রী|তক্ষক|সূত্রধার|ছুতোর,woodworker|cabinetmaker,,"This was built over a period of 40 days by a 300 strong force of labourers, <b>carpenters</b> , joiners and artists.|You don't need to be a master <b>carpenter</b> , but some basic carpentry skills are required."
দোষারোপ করা,carp,দোষারোপ করা,,kärp,Dōṣārōpa karā,,পোনামাছ|ছিদ্রান্বেষণ করা|খচখচ্ করা|দোষারোপ করা|পোনা মাছ|অভিযোগের সুরে কথা বলা,complain|cavil|grumble|grouse|whine|bleat|nag|gripe|grouch|beef|bellyache|moan|bitch|whinge|kvetch,,Again there are good fish in this section with some very big <b>carp</b> and chub.|The European <b>carp</b> and trout have driven many native species of fish from our streams.
carousel,carousel,carousel,,"ˈkarəˌsel,ˌkarəˈsel",Carousel,,,carrousel,,"The <b>carousel</b> was just a few feet from the wide front door of the store, which people traveling through the mall passed by all day long.|Nick soon becomes a multi-millionaire, purchasing everything from his own golf course to a <b>carousel</b> ."
মদ্যপানোত্সব,carouse,মদ্যপানোত্সব,,kəˈrouz,Madyapānōtsaba,,প্রচুর পরিমাণে মদ খাওয়া|হৈচৈ করিয়া অবাধে মদ্যপান করা|হল্লা|মদ্যপান উত্সব|মদ্যপানোত্সব|হুল্লোড়|মদ্যপানোত্সব করা|মদ্যপান-প্রতিযোগিতা,drink and make merry|go on a drinking bout|go on a spree|revel|celebrate|roister|party|booze|go boozing|binge|go on a binge|go on a bender|paint the town red|rave|whoop it up|wassail|toot|bender|carousal|booze-up,,"There was the opportunity to continue drinking and <b>carousing</b> , but I'd had enough.|He wasn't the <b>carouser</b> and the party animal that people thought."
সংকীর্তন,carol,সংকীর্তন,,ˈkarəl,Saṅkīrtana,,আনন্দময় গান|স্তুতি গান করা|আনন্দে গান করা|সংকীর্তন|ভজন|আনন্দে গান,Christmas song|hymn|canticle,,We would watch those popular Christmas movies and sing Christmas <b>carols</b> .|This week we will look at a classic story - the much-loved Wind in the Willows - which has a delightful Christmas excerpt featuring tiny mouse <b>carolers</b> .
মাংসাশী,carnivorous,মাংসাশী,,kärˈnivərəs,Mānsāśī,,আমিষভুক|মাংসাশী|কীটভূক্|কীটভোজী,meat-eating|flesh-eating|predatory|raptorial|zoophagous|creophagous,,"As it turned out, it was a pretty cool garden centre, full of <b>carnivorous</b> plants and little neon blue fish.|Filmed in Japan, this tells the story of mad scientist Dr. Bragan who develops a giant <b>carnivorous</b> plant that walks like a man."
মাংসাশী,carnivore,মাংসাশী,,ˈkärnəˌvôr,Mānsāśī,,,,,"But wildlife experts believe that the pine marten - the second-rarest <b>carnivore</b> in Britain after the wild cat - has returned to the North York Moors.|In their turn the herbivores are eaten by <b>carnivores</b> or by scavengers and, eventually, all organisms are broken down by bacteria into nutrients that return to the environment."
কার্নিভালের,carnival,কার্নিভালের,,ˈkärnəvəl,Kārnibhālēra,,রোমান ক্যাথলিকদের উৎসব|ভ্রাম্যমাণ আনন্দমেলা|অবাধ আন্দোত্সব,festival|fiesta|fête|gala|jamboree|celebration|fest,,"The village will be busy with range of events, culminating with the <b>carnival</b> fête and procession on June 26.|he worked at a <b>carnival</b>, climbing Ferris wheels and working 18-hour days"
গোলাপী পাতলবর্ণ,carnation,গোলাপী পাতলবর্ণ,,kärˈnāSHən,Gōlāpī pātalabarṇa,,গোলাপী পাতলবর্ণ|বেগুনি ছোঁয়া গোলাপী রং,gillyflower|clove pink,,"This unique hybrid features large balls of blooms that resemble <b>carnations</b> in a charming white cream color.|Choose flowers with full heads like dahlias, <b>carnations</b> , chrysanthemums and daffodils."
জাগতিক,carnal,জাগতিক,,ˈkärnl,Jāgatika,,দেহজ|যৌন|জাগতিক|ইঁদ্রি়-সংবঁধীয়|যৌনসঙ্গকামী,sexual|sensual|erotic|lustful|lascivious|libidinous|lecherous|licentious|physical|bodily|corporeal|fleshly,,"The Wooden Frock is from the Cinderella shelf of the library, the slipper here replaced by the more <b>carnal</b> symbol of a wedding ring.|The King portrayed a female vagrant, complete with a garbage bag dress, who goes after a man in hope of satisfying her <b>carnal</b> desires."
হত্যাকাণ্ড,carnage,হত্যাকাণ্ড,,ˈkärnij,Hatyākāṇḍa,,ব্যাপক হত্যালীলা|হত্যাকাণ্ড,slaughter|massacre|mass murder|butchery|bloodbath|bloodletting|gore|holocaust|pogrom|ethnic cleansing,,The only problems I can see with the film are it's length and the will to show scenes of <b>carnage</b> on the streets of New York.|Hundreds of thousands of British servicemen died in the terrible <b>carnage</b> of the Second World War.
carjacking,carjacking,carjacking,,ˈkärˌjakiNG,Carjacking,,,,,"The only people that should have the luxury to enjoy simulating murders, <b>carjackings</b> , and the killings of police officers are kids.|The threat of <b>carjackings</b> and kidnappings keeps people locked inside their houses."
carjacker,carjacker,carjacker,,,Carjacker,,,,,
যত্নশীল,caring,যত্নশীল,,ˈke(ə)riNG,Yatnaśīla,,উদ্বিগ্ন হত্তয়া|জিম্মায় লত্তয়া|অভিভাবকতত্ব করা|পরোয়া করা|যত্নবান্ করা|ইচ্ছুক হত্তয়া|গ্রাহ্য করা|ত্তয়াস্তা,lovingness|kind|kind-hearted|warmhearted|tender|concerned|attentive|thoughtful|solicitous|altruistic|considerate|affectionate|loving|doting|fond|sympathetic|understanding|compassionate|feeling|be concerned|worry (oneself)|trouble oneself|concern oneself|bother|mind|be interested|give a damn|give a hoot,,"I found him to be a very <b>caring</b> , kind, considerate person and his support has been a great comfort to us all.|Research shows that in general a carer's own health is likely to suffer because of their <b>caring</b> role."
ব্যঙ্গচিত্র,caricature,ব্যঙ্গচিত্র,,"-ˌCHo͝or,ˈkarikəCHər",Byaṅgacitra,,অতিরঞ্জিত|মজাদার অনুকরণ|ব্যঙ্গচিত্র|ব্যঙ্গাত্মক বর্ণনা,parody|satirize|lampoon|make fun of|burlesque|mimic|send up|take off|cartoon|satire|sendup|takeoff,,"On stage, I am a <b>caricature</b> of my normal personality which probably doesn't bode well.|I think he's a brilliant cartoonist, a spot-on <b>caricaturist</b> , an excellent letterer and a very fine writer-of-comics."
Caribou,caribou,Caribou,,ˈkarəˌbo͞o,Caribou,,,reindeer,,"There are also <b>caribou</b> , wolves, walruses, polar bears and beluga whales.|The area over which the <b>caribou</b> were sampled would become important to avoid a geographic variation effect."
ক্যারিবিয়ান,Caribbean,ক্যারিবিয়ান,,"kəˈribēən,ˌkarəˈbēən",Kyāribiẏāna,,ক্যারিবীয়,,,"The relaxing <b>Caribbean</b> holidays are replaced by exhausting weekends at a Center Parc.|I was on the phone to a <b>Caribbean</b> travel company, hassled, trying to get myself organised."
জাহাজী মাল,cargo,জাহাজী মাল,,ˈkärgō,Jāhājī māla,,জাহাজী মাল|জাহাজে বাহিত মাল|পণ্যসম্ভার,freight|load|haul|consignment|delivery|shipment|goods|merchandise|payload|lading,,"The <b>cargo</b> was consigned to yet another firm, registered in the British Virgin Islands.|Yet <b>cargo</b> boats regularly cut through the Sound of Mull, purely to save time and fuel."
তত্ত্বাবধায়ক,caretaker,তত্ত্বাবধায়ক,,ˈke(ə)rˌtākər,Tattbābadhāẏaka,,তত্ত্বাবধায়ক|অবধায়ক,temporary|short-term|provisional|substitute|acting|interim|pro tem|stand-in|fill-in|stopgap|janitor|custodian|superintendent|maintenance man/woman|curator|concierge|attendant|porter|super,,"‘The first phase was to ring the transport manager, the rest centre manager and the <b>caretaker</b> of the building,’ says Pam.|In such cases, the parent-teacher associations should arrange a watchman or a <b>caretaker</b> to look after the children till their parents come to fetch them in the evening."
আদর,caress,আদর,,kəˈres,Ādara,,আদর করা|চুম্বন করা|পেয়ার করা|সোহাগ করা|সোহাগ|আদর|পেয়ার|চুম্বন,stroke|touch|fondle|brush|pet|hug|embrace|nuzzle,,I stroked my violin tenderly; <b>caressing</b> the wood like a mother would an infant.|She slid her left hand behind his neck and gently <b>caressed</b> his cheek with her right hand.
অসতর্কতা,carelessness,অসতর্কতা,,ˈke(ə)rlisnis,Asatarkatā,,অমনোযোগ|প্রমাদ|অসতর্কতা|অসাবধানতা|অনবধানতা|অনাদর|অমনোযোগিতা,sloppiness,,most road accidents are caused by <b>carelessness</b> on the part of motorists|most road accidents are caused by <b>carelessness</b> on the part of motorists
অগোছালভাবে,carelessly,অগোছালভাবে,,,Agōchālabhābē,,অগোছালভাবে,rakishly,,
অসাবধান,careless,অসাবধান,,ˈke(ə)rlis,Asābadhāna,,অমনোযোগী|অসাবধান|উদ্বেগহীন|অনবহিত|যত্নহীন|উদাসীন|অনবধান|অযত্নশীল|ঢিলেঢালা|নজগজে|উদোমাদা|আপন-ভোলা|অগোছাল|অগোছালো,inattentive|incautious|negligent|absentminded|remiss|heedless|irresponsible|impetuous|reckless|foolhardy|cavalier|supercilious|devil-may-care,,"Or else our future generations are certainly going to pay the price for our <b>careless</b> , negligent and easygoing approach to the whole issue.|Finally he gave a <b>careless</b> shrug, dropping the man's head with a thud that predicted a headache the next day."
সাবধানতার,carefulness,সাবধানতার,,,Sābadhānatāra,,,caution|cautiousness,,
সাবধানে,carefully,সাবধানে,,,Sābadhānē,,সাবধানে|যত্নসহকারে|সযত্নে|সাবধানভাবে|সাবধানীভাবে|আস্তে|ভাল করিয়া|আলগোছে,cautiously,,
সাবধান,careful,সাবধান,,ˈke(ə)rfəl,Sābadhāna,,মনোযোগী|সাবধান|যত্নশীল|সযত্ন|অবহিত|ক্রিয়াপর|ক্রিয়াশীল|সাবধানী|যত্নসাধ্য|সুচেতা|তত্পর|অতন্দ্র|অতন্দ্রি|অপ্রমাদী|জাগরুক,cautious|heedful|alert|attentive|watchful|vigilant|wary|on guard|circumspect,,A defendant would have to use <b>careful</b> language to avoid imputing guilt by a statement of suspicion.|An unadmitted lack of confidence makes him <b>careful</b> to avoid open conflict and he feels he must make the best of things as they are.
ভাবনাহীন,carefree,ভাবনাহীন,,ˈke(ə)rˌfrē,Bhābanāhīna,,ভাবনাহীন|ভাবনাশূন্য|নির্ঝঁঝাট,unworried|untroubled|blithe|airy|nonchalant|insouciant|happy-go-lucky|free and easy|easygoing|relaxed|mellow|laid-back|loosey-goosey,,"It is also a rediscover, of a long-lost state of grace, a <b>carefreeness</b> , perhaps.|I hope she, and the rest of us, have many many more warm, sunny, <b>carefree</b> days like this one."
পেশা,career,পেশা,,kəˈri(ə)r,Pēśā,,অগ্রগতি|যাত্রা|পেশা|চরিত|বৃত্তি|বেগ|গতি,professional|permanent|full-time|profession|occupation|job|vocation|calling|employment|line|line of work|walk of life|métier,,"A <b>career</b> diplomat, he accepted a series of postings on the Continent, and took his young daughter with him.|It is not much of a break when you are 32 and considered to have reached the twilight of a distinguished <b>career</b> ."
ক্যারীন,careen,ক্যারীন,,kəˈrēn,Kyārīna,,একপেশে হত্তয়া|কাত করা|ক্যারীন,rush|hurtle|career|streak|shoot|race|bolt|dash|speed|run|whiz|zoom|flash|blast|charge|fly|go like the wind|belt|scoot|tear|zip|whip|zap|go like a bat out of hell|bomb|hightail|clip|tilt|sway|rock,,"The Confederate frigate shuddered, <b>careening</b> into an uncontrolled yaw.|That sort of upkeep had always been done between tides, on gently sloped sandy beaches, where the boats were <b>careened</b> and cleaned."
যত্ন,care,যত্ন,,ke(ə)r,Yatna,,উদ্বিগ্ন হত্তয়া|জিম্মায় লত্তয়া|অভিভাবকতত্ব করা|পরোয়া করা|যত্নবান্ করা|ইচ্ছুক হত্তয়া|গ্রাহ্য করা|ত্তয়াস্তা|গুরুত্ব|মনোযোগ|সাবধানতা|যত্ন|তত্ত্বাবধান|জিম্মা|আত্ততা|অভিভাবকতত্ব|ঠাহর|পরোয়া|উদ্বেগ|সতর্কতা|খবরদারি|তদারক|উপস্কার,be concerned|worry (oneself)|trouble oneself|concern oneself|bother|mind|be interested|give a damn|give a hoot|safekeeping|supervision|custody|charge|protection|control|responsibility|guardianship|wardship,,But officers can use their discretion to deal with drivers who they consider are not driving with full <b>care</b> and attention.|I'm responsible for the <b>care</b> of a dependant
কার্ড,cards,কার্ড,,,Kārḍa,,পিঁজা|কার্ড|তাস|শক্ত কাগজ|চিরূণী,tease|cardboard|pasteboard|board|Bristol board|card game,,
হৃদ্বিজ্ঞান,cardiology,হৃদ্বিজ্ঞান,,ˌkärdēˈäləjē,Hr̥dbijñāna,,হৃদ্বিজ্ঞান,,,"Measuring plasma concentrations of brain natriuretic peptide has been advocated as a screening test that might reduce demands on <b>cardiological</b> services.|Projects spanned a range of specialties - dermatology, psychiatry, respiratory medicine, <b>cardiology</b> , and oncology."
অঙ্কবাচক সংখ্যা,cardinal number,অঙ্কবাচক সংখ্যা,,,Aṅkabācaka saṅkhyā,,অঙ্কবাচক সংখ্যা|খড়ি,cardinal,,"Defenders of the latter thus resorted to ad boc banishments of such propositions into the realm of meaninglessness; to assert that green is not a <b>cardinal number</b> , they said, is to be guilty of a ‘category mistake.’|Furthermore, ordinal numbers are less frequently encountered than are <b>cardinal numbers</b> ."
অঙ্কবাচক,cardinal,অঙ্কবাচক,,"ˈkärd-nl,ˈkärdn-əl",Aṅkabācaka,,মৌলিক|অপরিহার্য|কার্ডিনাল|অঙ্কবাচক সংখ্যা|টক্টকে লাল|অঙ্কবাচক|প্রধান|টকটকে লাল|অত্যাবশ্যক,cardinal number|fundamental|basic|main|chief|primary|crucial|pivotal|prime|principal|paramount|preeminent|highest|key|essential,,"From all of our experiences, three <b>cardinal</b> rules for young people seeking to work in the developing world seem to have emerged.|Birds that overwinter in the northeastern U.S., like the red <b>cardinal</b> , are also the first to herald the onset of spring."
পশমী গেঁজী,cardigan,পশমী গেঁজী,,ˈkärdigən,Paśamī gēm̐jī,,হাতাওয়ালা|পশমী গেঁজী,,,"Avoid wearing blazers and <b>cardigans</b> with more than three buttons because they will draw unwanted attention to your shorter upper body.|So, when we head to Whitby for our holiday, I will take the usual array of beach wear - baggy tops, ankle-length skirts and outsize <b>cardigans</b> ."
কার্ডিয়াক অ্যারেস্ট,cardiac arrest,কার্ডিয়াক অ্যারেস্ট,,,Kārḍiẏāka ayārēsṭa,,,asystole,,
কার্ডিয়াক,cardiac,কার্ডিয়াক,,ˈkärdēˌak,Kārḍiẏāka,,হৃৎপিণ্ডঘটিত|হৃত্পিণ্ডসংবন্ধীয়,,,"These mice are characterized by polycythemia but have normal blood pressure, heart rate, and <b>cardiac</b> output.|The decrease in <b>cardiac</b> output that accompanies heart failure also leads to significant reductions in renal blood flow."
কার্ড ক্যাটালগ,card catalog,কার্ড ক্যাটালগ,,,Kārḍa kyāṭālaga,,,card catalogue,,
পিচবোর্ড,cardboard,পিচবোর্ড,,ˈkärdˌbôrd,Picabōrḍa,,পিজবোর্ড|পিচবোর্ড|পুরূ ত্ত শক্ত কাগজবিশেষ,,,They produce all that plastic and <b>cardboard</b> ; they ought to be actively responsible for getting rid of it.|a <b>cardboard</b> box
কার্ড,card,কার্ড,,kärd,Kārḍa,,পিঁজা|তারের ব্রাশ|পাগলাটে|কার্ড|তাস|শক্ত কাগজ|চিরূণী,tease|cardboard|pasteboard|board|Bristol board,,"However, if they do obtain a <b>card</b> , the credit limit will be low.|Both the Hall of Fame and the National Association of Professional Baseball Leagues sent along Vic's player record <b>card</b> ."
দেহমাত্র,carcass,দেহমাত্র,,ˈkärkəs,Dēhamātra,,পশুপাখির মৃতদেহ|দেহমাত্র|পশুর মৃতদেহ|ঘৃণার্থে মনুষ্যদেহ,corpse|dead body|body|remains|cadaver|stiff|roadkill|corse,,"The area would have been too boggy to make flint tools and uninhabitable for humans so experts believe this means the <b>carcass</b> was butchered for meat.|I'm sure you still have a few years left inside that big old <b>carcass</b> of yours, don't you?"
অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র,carburetor,অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র,,ˈkärb(y)əˌrātər,Aṅgāraka dbārā gyāsa sr̥ṣṭi karāra yam̐tra,,,carburettor,,
কারবন্ কাগজ,carbon paper,কারবন্ কাগজ,,,Kāraban kāgaja,,কার্বন কাগজ|কারবন্ কাগজ,carbon,,
জ্বলন্ত অঙ্গার হইতে নির্গত বিষাক্ত গ্যাসবিশেষ,carbon monoxide,জ্বলন্ত অঙ্গার হইতে নির্গত বিষাক্ত গ্যাসবিশেষ,,,Jbalanta aṅgāra ha'itē nirgata biṣākta gyāsabiśēṣa,,কার্বন মনোক্সাইড|একটি কার্বন ও একটি অক্সিজেন পরমাণু গঠিত অণুবিশিষ্ট মারাত্মক বিষাক্ত গ্যাস,co,,"Tar, nicotine and <b>carbon monoxide</b> are the major components of cigarettes.|Here, breathe some <b>carbon monoxide</b> , it will make you feel all funny inside and you will throw up!"
কার্বন ডাই অক্সাইড,carbon dioxide,কার্বন ডাই অক্সাইড,,,Kārbana ḍā'i aksā'iḍa,,,carbonic acid gas,,
কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি,carbon copy,কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি,,,Kāraban kāgaja dbārā gr̥hīta pratilipi,,কার্বন প্রতিলিপি|কারবন্ কাগজ দ্বারা গৃহীত প্রতিলিপি,carbon,,
কার্বনেটেড,carbonated,কার্বনেটেড,,ˈkärbənātid,Kārbanēṭēḍa,,,,,The FDA does not allow more than 2.45 mg/ounce of quinine to be contained in a <b>carbonated</b> beverage.|Elementary schools can no longer sell <b>carbonated</b> soft drinks.
কারবন,carbon,কারবন,,ˈkärbən,Kārabana,,অঙ্গার|অঙ্গারক|প্রতিলিপি-গ্রহণার্থ কাগজবিশেষ|কারবন|কার্বন,carbon copy,,"The biosphere consists of six main elements: <b>carbon</b> , nitrogen, phosphorus, sulphur, oxygen, and hydrogen.|Every source of soot, every fuel and means of burning it, has its own ratio of soot to organic <b>carbon</b> ; few have yet been analyzed."
কার্বোহাইড্রেট,carbohydrate,কার্বোহাইড্রেট,,ˌkärbəˈhīˌdrāt,Kārbōhā'iḍrēṭa,,শালিজাতীয় পদার্থ|কার্বোহাইড্রেট,saccharide|sugar,,"These properties are not present in the cauliflower's constituents, such as <b>carbohydrates</b> or water.|dehydrated foods high in <b>carbohydrate</b>"
ভ্রমণকারী মরূযাত্রিদল,caravan,ভ্রমণকারী মরূযাত্রিদল,,ˈkarəˌvan,Bhramaṇakārī marūyātridala,,ভ্রমণকারী মরূযাত্রিদল|ঢাকনাত্তয়ালা বৃহৎ শকটবিশেষ|মরুযাত্রীদল,convoy|procession|column|train|cavalcade,,"The entire entourage was traveling across a long dirt road, like a <b>caravan</b> , with animals and performers and equipment and everything in tow.|a Gypsy <b>caravan</b>"
ক্যারেট,carat,ক্যারেট,,ˈkarət,Kyārēṭa,,মণিরত্নের মাপবিশেষ|ক্যারেট,karat,,"It was composed of a precious pink sapphire of 20.35 <b>carats</b> , several sapphires, colourful diamonds and natural pearls.|However, one does not need to be an expert on the Hope Diamond to know that its correct weight is 45.52 <b>carats</b> , a weight that has been accurately reported in reputable scholarly publications for most of the latter half of the last century."
আঠাল মিঠাই,caramel,আঠাল মিঠাই,,"-ˌmel,ˈkarəməl,ˈkärməl",Āṭhāla miṭhā'i,,আঠাল মিঠাই|দগ্ধ শর্করা|আঠাল মিছরি,raw sienna|buff,,"Corduroys come in shades of rust, sand, bottle-green, <b>caramel</b> and plum.|Dessert, miniature pear tarte tatins with little pools of <b>caramel</b> and crème anglaise, arrived just as the first toasts began."
গাড়ী,car,গাড়ী,,kär,Gāṛī,,গাড়ি|যান|গাড়ী|রথ|শকট|বগি|কামরা|অক্ষ,automobile|motor vehicle|vehicle|motorcar|auto|wheels|gas guzzler|jalopy|lemon|junker|clunker|hooptie|Tin Lizzie|rustbucket,,"Our train consists of six coach class <b>cars</b> , a cafe car, and one business class car.|Nine <b>cars</b> of a coal train derailed early Tuesday about 13 miles east of Gillette, Wyoming."
গ্রেপ্তার,capture,গ্রেপ্তার,,ˈkapCHər,Grēptāra,,বন্দি করা|নিয়ন্ত্রণে আনা|বলে ধরা|বন্দী করা|কৌশলে ধরা|গ্রহণ|লুণ্ঠন|গ্রেপ্তার|আটক ব্যক্তি|আটক জন্তু,catch|apprehend|seize|arrest|take prisoner|take captive|imprison|detain|put/throw in jail|put behind bars|put under lock and key|incarcerate|nab|collar|bag|pick up|apprehension|seizure|being taken prisoner|being taken captive|imprisonment,,"the player was a £2,200 <b>capture</b> from another team|For a power so concerned with the stylish symbolism of that city's <b>capture</b> , this was no mere practical measure."
বন্দিকারী,captor,বন্দিকারী,,"-ˌtôr,ˈkaptər",Bandikārī,,লুণ্ঠনকারী|বন্দিকারী,capturer,,"After some hours, his <b>captors</b> relaxed and said that he would be released in the morning.|Again, during the journey, my mind turned to the movies, and how to escape your <b>captor</b> , should the need arise."
বন্দিদশা,captivity,বন্দিদশা,,kapˈtivitē,Bandidaśā,,দাসত্ব|বন্দিদশা|বন্ধনদশা,imprisonment|confinement|internment|incarceration|detention|custody,,The next three days of <b>captivity</b> are described over three chapters.|Female cowbirds were held in <b>captivity</b> and released at the end of the breeding season.
বন্দী,captive,বন্দী,,ˈkaptiv,Bandī,,বন্দি|কয়েদি|ধৃত|বন্দী|বিমুগ্ধ ব্যক্তি,confined|caged|incarcerated|locked up|jailed|imprisoned|in prison|interned|detained|in captivity|under lock and key|behind bars|prisoner|convict|detainee|inmate|abductee|prisoner of war|POW|internee|jailbird|con|yardbird|lifer,,"He rightly recognized that the Berlin Wall was an abomination and a poignant symbol of the chains imprisoning the <b>captive</b> nations of Eastern Europe.|A <b>captive</b> wild animal can only show us the loneliness, fear and boredom they experience for the entirety of their miserable lives."
চিত্তাকর্ষক,captivating,চিত্তাকর্ষক,,ˈkaptəˌvātiNG,Cittākarṣaka,,চিত্তাকর্ষক|চটুল|মুগ্ধকারী|চিত্তহারী|মনোমুগ্ধকর|মনোমোহকর|মনোজ্ঞ,enthrall|charm|enchant|bewitch|fascinate|beguile|entrance|enrapture|delight|attract|allure|engross|mesmerize|spellbind|hypnotize|fascinating|enthralling|enchanting|entrancing|bewitching,,"Still more <b>captivating</b> are Greaves' architectural structures, a dozen in all, installed at the four corners of the site.|There is a <b>captivating</b> element of juxtaposition in each painting."
মাত করা,captivate,মাত করা,,ˈkaptəˌvāt,Māta karā,,মাত করা|বিমোহিত করা|আকৃষ্ট করা|মোহিত করা,enthrall|charm|enchant|bewitch|fascinate|beguile|entrance|enrapture|delight|attract|allure|engross|mesmerize|spellbind|hypnotize,,"One day Franz sees Coppelia appear on Coppelius' balcony, and is <b>captivated</b> by her beauty.|‘Hayden, let me tell you a story,’ he said, his voice <b>captivatingly</b> soft, and again all I could do was listen."
ক্যাপশন,caption,ক্যাপশন,,ˈkapSHən,Kyāpaśana,,শিরোনামা|শিরোলিপি|প্রবন্ধ বা পরিচ্ছেদের শিরোনাম,title|heading|wording|head|legend|subtitle|rubric|slogan|supertitle|surtitle,,"Each image will be accompanied by a <b>caption</b> and a small digital image of the building as it looks today.|Informative text provides a running commentary, and each photo is <b>captioned</b> with historical details."
অধিনায়ক,captain,অধিনায়ক,,ˈkaptən,Adhināẏaka,,পোত চালান|নেতা|দলপতি|প্রধান|নায়ক|নিয়ন্তা|অধিনায়ক|কাপ্তেন|জাহাজের কাপ্তান|পোতনায়ক|পোতচালক|পোতাধ্যক্ষ|সেনাধ্যক্ষ,command|run|be in charge of|control|manage|govern|skipper|commander|master,,It was hoped that a high tide might help the <b>captain</b> refloat the vessel.|She was approached by a New York fire <b>captain</b> to help him write eulogies to fellow firefighters who died in the Twin Towers.
