entity_id,name_bn,name_en,food_type,category,summary_bn,image_url
food_10,বিরিয়ানি,Biryani,Main Course,Food & Dining,"মশলাদার মাংস, বাসমতি চাল ও গন্ধযুক্ত তেল দিয়ে ভরা বিরিয়ানির সুগন্ধি ও সমৃদ্ধ স্বাদ।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_11,কাচ্চি বিরিয়ানি,Kacchi Biryani,Main Course,Food & Dining,"মশলাদার কাঁচা মাংস, বাসমতি চাল ও গন্ধযুক্ত তেল দিয়ে ভরা কাচ্চি বিরিয়ানির তীব্র স্বাদ।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_12,তেহারি,Tehari,Main Course,Food & Dining,"মশলাদার মাংস, বাসমতি চাল ও গন্ধযুক্ত তেল দিয়ে ভরা তেহারির সুগন্ধি ও মসলা স্বাদ।",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Old_Dhaka_Tehari.jpg/320px-Old_Dhaka_Tehari.jpg
food_13,খিচুড়ি,Khichuri,Main Course,Food & Dining,"মশলাদার চাল, ডাল ও সবজি মিশ্রণে হালকা স্বাদে ভরা খিচুড়ি।",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Khichuri_with_egg.jpg/320px-Khichuri_with_egg.jpg
food_14,পান্তা ভাত,Panta Bhat,Main Course,Food & Dining,"নুন, কাঁচা পেঁয়াজ ও লেবুর রস দিয়ে ভেজা পান্তা ভাতের তাজা ও হালকা স্বাদ।",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Panta_Ilish.jpg/320px-Panta_Ilish.jpg
food_15,ভাত ও ডাল,Rice and Dal,Main Course,Food & Dining,ভাত ও ডাল বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_16,পোলাও,Polao,Main Course,Food & Dining,পোলাও বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_17,মুরগির রোস্ট,Chicken Roast,Main Course,Food & Dining,মুরগির রোস্ট বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_18,গরুর ভুনা,Beef Bhuna,Main Course,Food & Dining,গরুর ভুনা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_19,খাসির রেজালা,Mutton Rezala,Main Course,Food & Dining,খাসির রেজালা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_20,মাটন কারি,Mutton Curry,Main Course,Food & Dining,মাটন কারি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_21,মুরগির কারি,Chicken Curry,Main Course,Food & Dining,মুরগির কারি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_22,ডাল ভাত,Dal Bhat,Main Course,Food & Dining,ডাল ভাত বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_23,ভর্তা,Bhorta,Side Dish,Food & Dining,ভর্তা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_24,আলু ভর্তা,Alu Bhorta,Side Dish,Food & Dining,আলু ভর্তা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_25,ডিম ভুনা,Egg Bhuna,Main Course,Food & Dining,ডিম ভুনা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_26,শাকভাজি,Shakvaji,Side Dish,Food & Dining,শাকভাজি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_27,ইলিশ ভাজা,Fried Hilsa,Fish,Food & Dining,ইলিশ ভাজা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Panta_Ilish.jpg/320px-Panta_Ilish.jpg
food_28,ইলিশ পাতুরি,Hilsa Paturi,Fish,Food & Dining,ইলিশ পাতুরি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_29,ইলিশ সর্ষে,Hilsa with Mustard,Fish,Food & Dining,ইলিশ সর্ষে বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_30,চিংড়ি মালাই কারি,Prawn Malai Curry,Fish,Food & Dining,চিংড়ি মালাই কারি নারকেল দুধের মসৃণতা ও মশলার ঝালমিষ্টি মিশ্রণে সমৃদ্ধ স্বাদে ভাসে।,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Chingri_Malai_Curry.jpg/320px-Chingri_Malai_Curry.jpg
food_31,রুই মাছের ঝোল,Rui Fish Curry,Fish,Food & Dining,"রুই মাছের ঝোল তেজপাতা ও হলুদের স্নিগ্ধ গন্ধে ভেজা, হালকা তিক্ততা ও মশলার সুমধুর সমন্বয়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_32,কাতলা মাছ ভাজা,Katla Fish Fry,Fish,Food & Dining,কাতলা মাছ ভাজা তেজস্বী তেলেতে সোনালি ক্রাস্টে মশলার তীক্ষ্ণতা ও মাছের নরম গন্ধের মেলবন্ধন।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_33,ভেটকি পাতুরি,Bhetki Paturi,Fish,Food & Dining,"ভেটকি পাতুরি পাতা মোড়কে নারকেল ও পেঁয়াজের মিশ্রণ, ধীরে ধীরে বাষ্পে রাঁধা স্বাদে মিষ্টি-ঝাল সুরের সঙ্গতি।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_34,শুটকি ভর্তা,Shutki Bhorta,Fish,Food & Dining,"শুটকি ভর্তা শুকনো মাছের তীব্র স্বাদে পেঁয়াজ, রসুন ও মরিচের মশলার মিশ্রণ, মুখে গলে যায়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_35,রসগোল্লা,Roshogolla,Sweet,Food & Dining,"রসগোল্লা নরম ছানা বলের মধ্যে রসালো সিরাপের মিষ্টি, মুখে গলে যাওয়া স্বাদে ভাসে।",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Rasgulla_sweet.jpg/320px-Rasgulla_sweet.jpg
food_36,মিষ্টি দই,Mishti Doi,Sweet,Food & Dining,"মিষ্টি দই ঘন দইয়ের মিষ্টি স্বাদে হালকা টক, দইয়ের ক্রিমি গঠন ও চিনি মিশ্রণে স্নেহময় স্বাদ।",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Mishti_Doi_of_Bogra.jpg/320px-Mishti_Doi_of_Bogra.jpg
food_37,চমচম,Chomchom,Sweet,Food & Dining,চমচম সাদা পনিরের গুঁড়োতে নারকেল ও চিনি মিশিয়ে রসালো সসের সাথে মিষ্টি-সুস্বাদু স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Porabari_Chomchom.jpg/320px-Porabari_Chomchom.jpg
food_38,কালোজাম,Kalojam,Sweet,Food & Dining,"কালোজাম গলিত চিনি ও নারকেলের মিশ্রণে রঙিন গোলাপী রঙের মিষ্টি, নরম গঠন ও মিষ্টি স্বাদের সমন্বয়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Kalojam_Sweet.jpg/320px-Kalojam_Sweet.jpg
food_39,রাজভোগ,Rajbhog,Sweet,Food & Dining,রাজভোগ সাদা পনিরের গুঁড়োতে নারকেল ও চিনি মিশিয়ে রসালো সসের সাথে মিষ্টি-সুস্বাদু স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_40,সন্দেশ,Sandesh,Sweet,Food & Dining,সন্দেশ তাজা পনিরের গুঁড়োতে নারকেল ও চিনি মিশিয়ে রসালো সসের সাথে মিষ্টি-সুস্বাদু স্বাদ।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_41,গোলাপ জামুন,Gulab Jamun,Sweet,Food & Dining,"গোলাপ জামুন গলিত চিনি সসের মধ্যে ভেজা নরম গোলাপি বল, মিষ্টি ও রসালো স্বাদের সমন্বয়।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_42,জিলাপি,Jalebi,Sweet,Food & Dining,"জিলাপি মাখনের তেলে ভাজা সোনালি সুঁই, চিনি সিরাপে ভেজে মিষ্টি-খাস্তা স্বাদে ভরপুর।",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Jalebi_sweet.jpg/320px-Jalebi_sweet.jpg
food_43,হালুয়া,Halwa,Sweet,Food & Dining,"হালুয়া গমের আটা, ঘি ও চিনি মিশিয়ে ঘন, গুঁড়ো স্বাদে মাখনের সমৃদ্ধি।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_44,পায়েস,Payesh,Sweet,Food & Dining,"পায়েস চালের দানা, দুধ ও চিনি মিশিয়ে নরম, ক্রিমি গঠন ও মিষ্টি স্বাদের ঐতিহ্যবাহী মিষ্টি।",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_45,ক্ষীর,Kheer,Sweet,Food & Dining,ক্ষীর বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_46,লাড্ডু,Ladu,Sweet,Food & Dining,লাড্ডু বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_47,নারু,Naru,Sweet,Food & Dining,নারু বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_48,মোয়া,Moa,Sweet,Food & Dining,মোয়া বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_49,পরোটা,Parota,Bread,Food & Dining,পরোটা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_50,রুটি,Roti,Bread,Food & Dining,রুটি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_51,নান,Naan,Bread,Food & Dining,নান বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_52,লুচি,Luchi,Bread,Food & Dining,লুচি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_53,পুরি,Puri,Bread,Food & Dining,পুরি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_54,শিরা,Shirni,Dessert,Food & Dining,শিরা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_55,পিঠা,Pitha,Traditional,Food & Dining,পিঠা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_56,ভাপা পিঠা,Bhapa Pitha,Traditional,Food & Dining,ভাপা পিঠা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_57,চিতই পিঠা,Chitoi Pitha,Traditional,Food & Dining,চিতই পিঠা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_58,পাটিসাপটা,Patishapta,Traditional,Food & Dining,পাটিসাপটা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_59,দুধ পুলি,Dudh Puli,Traditional,Food & Dining,দুধ পুলি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_60,তেলের পিঠা,Teler Pitha,Traditional,Food & Dining,তেলের পিঠা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_61,বোরহানি,Borhani,Drink,Food & Dining,বোরহানি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Borhani_Drink.jpg/320px-Borhani_Drink.jpg
food_62,লাচ্ছি,Lassi,Drink,Food & Dining,লাচ্ছি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_63,চা,Cha (Tea),Drink,Food & Dining,চা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_64,মালাই চা,Malai Cha,Drink,Food & Dining,মালাই চা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_65,তেঁতুলের শরবত,Tamarind Sherbet,Drink,Food & Dining,তেঁতুলের শরবত বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_66,আম পান্না,Aam Panna,Drink,Food & Dining,আম পান্না বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_67,ডাবের পানি,Coconut Water,Drink,Food & Dining,ডাবের পানি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_68,নারিকেলের দুধ,Coconut Milk,Drink,Food & Dining,নারিকেলের দুধ বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_69,হালিম,Haleem,Stew,Food & Dining,হালিম বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Haleem_Dish.jpg/320px-Haleem_Dish.jpg
food_70,নিহারি,Nihari,Stew,Food & Dining,নিহারি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_71,রেজালা,Rezala,Curry,Food & Dining,রেজালা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_72,কোরমা,Korma,Curry,Food & Dining,কোরমা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_73,দম পুখত,Dum Pukht,Curry,Food & Dining,দম পুখত বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_74,লাউ চিংড়ি,Gourd with Prawn,Curry,Food & Dining,লাউ চিংড়ি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_75,কচুর লতি,Kochur Loti,Vegetable,Food & Dining,কচুর লতি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_76,মিষ্টি কুমড়ার তরকারি,Pumpkin Curry,Vegetable,Food & Dining,মিষ্টি কুমড়ার তরকারি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_77,ঢেঁড়স ভাজি,Okra Fry,Vegetable,Food & Dining,ঢেঁড়স ভাজি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_78,শিক কাবাব,Seekh Kebab,Grill,Food & Dining,শিক কাবাব বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_79,শামি কাবাব,Shami Kabab,Grill,Food & Dining,শামি কাবাব বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_80,টিক্কা,Tikka,Grill,Food & Dining,টিক্কা বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_81,গ্রিলড চিকেন,Grilled Chicken,Grill,Food & Dining,গ্রিলড চিকেন বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_82,তন্দুরি চিকেন,Tandoori Chicken,Grill,Food & Dining,তন্দুরি চিকেন বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
food_83,ডিম খিচুড়ি,Egg Khichuri,Breakfast,Food & Dining,ডিম খিচুড়ি বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Khichuri_with_egg.jpg/320px-Khichuri_with_egg.jpg
food_84,সেমাই,Shemai,Breakfast,Food & Dining,সেমাই বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খাবার।,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kacchi_Biryani_Dhaka.jpg/320px-Kacchi_Biryani_Dhaka.jpg
